,index,location
0,,2862
1,India,1725
2,United States,1188
3,United Kingdom,521
4,Germany,505
5,France,344
6,Canada,287
7,Australia,237
8,Netherlands,158
9,Russia,150
10,Ukraine,132
11,Israel,127
12,USA,124
13,Poland,122
14,Deutschland,117
15,Pakistan,114
16,CA,100
17,Italy,94
18,Spain,94
19,Bangladesh,86
20,UK,86
21,Switzerland,84
22,Sweden,76
23,Brazil,74
24,Polska,68
25,Belgium,65
26,Iran,65
27,Romania,64
28,Austria,63
29,Singapore,61
30,New Zealand,54
31,Philippines,54
32,Sri Lanka,53
33,Japan,52
34,Argentina,52
35,WA,51
36,China,51
37,Czech Republic,49
38,Denmark,45
39,Greece,44
40,Ireland,44
41,Norway,44
42,Finland,43
43,Bulgaria,42
44,Vietnam,40
45,Turkey,40
46,TX,39
47,Belarus,38
48,Nepal,37
49,The Netherlands,37
50,Portugal,36
51,Italia,36
52,South Africa,36
53,Indonesia,30
54,NY,30
55,Brasil,29
56,California,29
57,España,28
58,Türkiye,27
59,Europe,27
60,Hungary,27
61,Egypt,25
62,FL,23
63,Earth,23
64,Hong Kong,22
65,MA,22
66,PA,21
67,Malaysia,20
68,London,20
69,Taiwan,19
70,Slovakia,19
71,Lithuania,18
72,IL,18
73,OR,18
74,Россия,18
75,South Korea,18
76,Dubai - United Arab Emirates,17
77,England,16
78,Österreich,16
79,Nederland,16
80,VA,15
81,Armenia,15
82,CO,15
83,Colombia,15
84,Nigeria,14
85,Morocco,14
86,Croatia,14
87,Bangalore,14
88,Uruguay,13
89,Texas,13
90,New Jersey,13
91,Tunisia,13
92,Kenya,13
93,México,13
94,NC,13
95,Serbia,13
96,MN,12
97,Slovenia,12
98,Berlin,12
99,TN,12
100,Paris,12
101,Mexico,11
102,Algeria,11
103,Ahmedabad,11
104,België,11
105,MI,11
106,WI,11
107,San Francisco Bay Area,10
108,DC,10
109,GA,10
110,Schweiz,10
111,OH,10
112,Bangkok Thailand,10
113,Jordan,9
114,Virginia,9
115,Lebanon,9
116,Chile,9
117,Estonia,8
118,Georgia,8
119,IN,8
120,Moscow,8
121,NJ,8
122,Chennai,8
123,MD,7
124,United Arab Emirates,7
125,Peru,7
126,Bolivia,7
127,Bosnia and Herzegovina,7
128,Ελλάδα,7
129,Azerbaijan,7
130,Sverige,7
131,Venezuela,7
132,Michigan,7
133,MO,7
134,AZ,6
135,Luxembourg,6
136,Saudi Arabia,6
137,Russian Federation,6
138,Việt Nam,6
139,New York,6
140,Czechia,6
141,Cuba,6
142,Belgrade,6
143,Utah,6
144,Tunisie,6
145,Oregon,6
146,Algérie,6
147,Maryland,6
148,New Delhi,6
149,Moldova,6
150,Massachusetts,6
151,Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,6
152,Quebec,5
153,Beijing,5
154,SC,5
155,Barcelona,5
156,Vojvodina,5
157,Suomi,5
158,Kazakhstan,5
159,Česko,5
160,Vienna,5
161,Thailand,5
162,Illinois,5
163,North Carolina,5
164,Ohio,5
165,San Francisco,5
166,Uzbekistan,5
167,Delhi,5
168,Seattle,5
169,Melbourne,5
170,Pennsylvania,5
171,Costa Rica,5
172,Ethiopia,4
173,Montreal,4
174,U.K.,4
175,Albania,4
176,Belgique,4
177,中国北京市Beijing Shi,4
178,Malta,4
179,Iceland,4
180,Cambodia,4
181,Ghana,4
182,Latvia,4
183,Perú,4
184,Kuwait,4
185,ישראל,4
186,Pune,4
187,Palestine,4
188,Florida,4
189,Ontario,4
190,Cyprus,4
191,NE,4
192,Syria,4
193,Iraq,4
194,IA,4
195,OK,4
196,Arizona,4
197,Maroc,4
198,Tehran,4
199,Scotland,4
200,Minnesota,4
201,"Dhaka,Bangladesh",4
202,Uganda,4
203,România,4
204,Ecuador,3
205,Pacific Northwest,3
